City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Alexandria,100,RO,1562306918,59,43.97,25.33,28.89,2.17
Penzance,20,GB,1562306673,77,50.12,-5.53,15.56,4.1
Upernavik,25,GL,1562307201,70,72.79,-56.15,5.74,3.85
Ternate,20,PH,1562307202,66,14.29,120.72,33.33,4.1
Ribeira Grande,17,PT,1562306987,75,38.52,-28.7,19.94,3.09
Cape Town,0,ZA,1562306957,87,-33.93,18.42,10.56,3.6
Hilo,90,US,1562307206,73,19.71,-155.08,25,1.5
Saint George,0,GR,1562307207,50,39.45,22.34,28.89,2.1
Ushuaia,0,AR,1562307138,100,-54.81,-68.31,-1,2.6
Rikitea,28,PF,1562307135,67,-23.12,-134.97,19.94,10.6
Chokurdakh,97,RU,1562307211,50,70.62,147.9,13.54,4.84
Thompson,75,CA,1562307213,87,55.74,-97.86,9,2.1
Samarai,77,PG,1562307214,76,-10.62,150.67,25.34,2.87
Mataura,100,NZ,1562307146,92,-46.19,168.86,8.33,3.13
Kapaa,20,US,1562307217,74,22.08,-159.32,27,2.6
New Norfolk,40,AU,1562307218,66,-42.78,147.06,13,2.6
Cherskiy,100,RU,1562307219,58,68.75,161.3,15.14,4.6
Saskylakh,98,RU,1562307220,71,71.97,114.09,8.84,6.58
Quatre Cocos,40,MU,1562307222,69,-20.21,57.76,24.44,2.6
Mana,93,NG,1562307223,79,13.03,5.27,22.94,2.27
Hobart,40,AU,1562307035,66,-42.88,147.33,13,2.6
Harrisonburg,90,US,1562307225,100,38.45,-78.87,22,1.37
Hithadhoo,66,MV,1562307109,79,-0.6,73.08,28.74,6.2
Longyearbyen,75,SJ,1562307228,61,78.22,15.63,9,8.7
Arraial Do Cabo,100,BR,1562307229,86,-22.97,-42.02,20.44,4.54
Marzuq,2,YE,1562307230,19,14.4,46.47,32.24,3.75
Punta Arenas,90,CL,1562307232,95,-53.16,-70.91,2.78,5.7
Ponta Do Sol,91,BR,1562307233,88,-20.63,-46,16.24,2.57
Puerto Ayora,5,EC,1562307234,95,-0.74,-90.35,20,3.67
Castro,0,CL,1562307235,85,-42.48,-73.76,0,0.5
Victoria,75,MY,1562307237,55,5.28,115.24,33,1.5
Bredasdorp,2,ZA,1562307238,93,-34.53,20.04,6.11,1.5
Cockburn Town,0,TC,1562307008,79,21.46,-71.14,27.94,10.67
Bethel,1,US,1562307153,56,60.79,-161.76,21,5.7
Minab,15,IR,1562307242,40,27.15,57.07,39,1
Kisangani,56,CD,1562307243,79,0.52,25.21,24.04,0.65
Usakos,0,,1562307244,14,-22,15.59,11.24,3.07
Hermanus,0,ZA,1562306890,99,-34.42,19.24,8.89,5.92
Provideniya,75,RU,1562307247,87,64.42,-173.23,9,5
Faanui,100,PF,1562307195,79,-16.48,-151.75,24.24,13.38
Kavaratti,40,IN,1562307249,74,10.57,72.64,31,6.2
Pabianice,0,PL,1562307251,44,51.66,19.36,17.78,3.6
Jamestown,0,AU,1562307252,55,-33.21,138.6,17.64,4.97
Cabo San Lucas,5,MX,1562307237,51,22.89,-109.91,27.22,4.24
Dingle,48,PH,1562307254,71,11,122.67,30.04,2.79
Javanrud,0,IR,1562307256,17,34.8,46.49,25,1
Pontefract,20,GB,1562306984,82,53.69,-1.31,16.67,7.2
Mahebourg,40,MU,1562307258,69,-20.41,57.7,24.44,2.6
Katsuura,75,JP,1562307259,65,33.93,134.5,28,6.2
Albany,75,US,1562307167,88,42.65,-73.75,25,1.5
Saint-Philippe,1,CA,1562307262,88,45.36,-73.48,25,1.5
Yerbogachen,52,RU,1562307263,36,61.28,108.01,28.84,5.92
Iqaluit,75,CA,1562307264,86,63.75,-68.52,5,2.1
Gigmoto,56,PH,1562307266,66,13.78,124.39,29.64,1.69
Seddon,40,AU,1562307267,45,-37.81,144.89,17.78,4.6
Cururupu,16,BR,1562306714,98,-1.82,-44.87,22.44,0.8
Butaritari,16,KI,1562307269,69,3.07,172.79,29.34,3.34
Lebu,75,ET,1562307270,87,8.96,38.73,14,2.1
Yulara,0,AU,1562307272,21,-25.24,130.99,22,6.2
Bluff,100,AU,1562307153,75,-23.58,149.07,17.44,8.67
Taltal,27,CL,1562307274,91,-25.41,-70.49,9.34,0.44
Tari,88,NG,1562307276,85,12.41,4.49,24.54,10.89
Wuda,0,CN,1562307277,29,39.5,106.72,26.74,9.93
Vestmannaeyjar,0,IS,1562307278,81,63.44,-20.27,9.64,8.55
